0,5.21485e-023nan,
1,1.19264e-021,3.03535e-020,
2,1.61977e-021,4.14179e-020,
3,2.1553e-021,6.24105e-020,
4,2.62976e-021,9.4842e-020,
5,2.99867e-021,1.37907e-019,
6,3.26922e-021,1.86849e-019,
7,3.45562e-021,2.33342e-019,
8,3.56555e-021,2.67605e-019,
9,3.60052e-021,2.81513e-019,
10,3.55865e-021,2.7148e-019,
11,3.43735e-021,2.39886e-019,
12,3.23429e-021,1.94104e-019,
13,2.94871e-021,1.43855e-019,
14,2.5831e-021,9.78905e-020,
15,2.14834e-021,6.16177e-020,
16,1.67425e-021,3.64966e-020,
17,1.22397e-021,2.10782e-020,
18,8.94305e-022,1.28566e-020,
19,7.82962e-022,9.72245e-021,
20,9.1506e-022,1.07045e-020,
21,1.21144e-021,1.60357e-020,
22,1.56899e-021,2.72338e-020,
23,1.91967e-021,4.61563e-020,
24,2.23089e-021,7.33923e-020,
25,2.48895e-021,1.06823e-019,
26,2.68697e-021,1.41122e-019,
27,2.82004e-021,1.68868e-019,
28,2.88445e-021,1.83099e-019,
29,2.8776e-021,1.80057e-019,
30,2.79866e-021,1.60797e-019,
31,2.64854e-021,1.30666e-019,
32,2.43015e-021,9.70894e-020,
33,2.14926e-021,6.6688e-020,
34,1.81749e-021,4.3255e-020,
35,1.45984e-021,2.73439e-020,
36,1.12428e-021,1.74464e-020,
37,8.7202e-022,1.17669e-020,
38,7.52041e-022,9.1451e-021,
39,7.82433e-022,9.08643e-021,
40,9.4368e-022,1.16336e-020,
41,1.18891e-021,1.74791e-020,
42,1.46791e-021,2.78778e-020,
43,1.74327e-021,4.38669e-020,
44,1.99258e-021,6.51983e-020,
45,2.20275e-021,8.96382e-020,
46,2.36525e-021,1.13072e-019,
47,2.47362e-021,1.30589e-019,
48,2.52289e-021,1.38119e-019,
49,2.50988e-021,1.33963e-019,
50,2.43322e-021,1.19354e-019,
51,2.29428e-021,9.79683e-020,
52,2.0974e-021,7.44641e-020,
53,1.85119e-021,5.29102e-020,
54,1.57087e-021,3.57609e-020,
55,1.28127e-021,2.36817e-020,
56,1.01952e-021,1.60948e-020,
57,8.30835e-022,1.19927e-020,
58,7.52081e-022,1.05602e-020,
59,7.94258e-022,1.14328e-020,
60,9.38236e-022,1.46942e-020,
61,1.14648e-021,2.07495e-020,
62,1.38091e-021,3.01226e-020,
63,1.6129e-021,4.30922e-020,
64,1.82392e-021,5.92375e-020,
65,2.00246e-021,7.70811e-020,
66,2.14105e-021,9.40906e-020,
67,2.23417e-021,1.07151e-019,
68,2.27783e-021,1.13502e-019,
69,2.26929e-021,1.11655e-019,
70,2.20736e-021,1.01997e-019,
71,2.09287e-021,8.66547e-020,
72,1.92908e-021,6.87464e-020,
73,1.72325e-021,5.13768e-020,
74,1.48837e-021,3.6731e-020,
75,1.24628e-021,2.57793e-020,
76,1.02947e-021,1.84617e-020,
77,8.75516e-022,1.42263e-020,
78,8.12338e-022,1.25045e-020,
79,8.46275e-022,1.29751e-020,
80,9.62999e-022,1.56968e-020,
81,1.13588e-021,2.10632e-020,
82,1.33534e-021,2.95472e-020,
83,1.53634e-021,4.12639e-020,
84,1.72081e-021,5.5551e-020,
85,1.87666e-021,7.07522e-020,
86,1.99585e-021,8.44413e-020,
87,2.07312e-021,9.40392e-020,
88,2.10517e-021,9.76261e-020,
89,2.09051e-021,9.45986e-020,
90,2.02943e-021,8.58287e-020,
91,1.92396e-021,7.32916e-020,
92,1.77861e-021,5.93711e-020,
93,1.60083e-021,4.61443e-020,
94,1.40249e-021,3.49403e-020,
95,1.20155e-021,2.62882e-020,
96,1.0238e-021,2.01545e-020,
97,8.99534e-022,1.63163e-020,
98,8.48414e-022,1.45664e-020,
99,8.7445e-022,1.47761e-020,
100,9.68518e-022,1.70091e-020,
101,1.11148e-021,2.15191e-020,
102,1.28072e-021,2.85882e-020,
103,1.45617e-021,3.82547e-020,
104,1.62186e-021,4.99876e-020,
105,1.76594e-021,6.25439e-020,
106,1.87938e-021,7.40699e-020,
107,1.9558e-021,8.2529e-020,
108,1.99098e-021,8.63077e-020,
109,1.9826e-021,8.46893e-020,
110,1.9307e-021,7.81174e-020,
111,1.83749e-021,6.79983e-020,
112,1.70801e-021,5.62398e-020,
113,1.5505e-021,4.46718e-020,
114,1.37754e-021,3.4643e-020,
115,1.20604e-021,2.68376e-020,
116,1.05665e-021,2.13826e-020,
117,9.50458e-022,1.80964e-020,
118,9.03362e-022,1.67403e-020,
119,9.21093e-022,1.71738e-020,
120,9.97103e-022,1.9396e-020,
121,1.11571e-021,2.35096e-020,
122,1.25815e-021,2.96167e-020,
123,1.40705e-021,3.7635e-020,
124,1.54859e-021,4.71199e-020,
125,1.67244e-021,5.71564e-020,
126,1.77081e-021,6.63985e-020,
127,1.83808e-021,7.33432e-020,
128,1.87062e-021,7.67433e-020,
129,1.86615e-021,7.59505e-020,
130,1.82448e-021,7.1169e-020,
131,1.74729e-021,6.33497e-020,
132,1.63861e-021,5.38956e-020,
133,1.50538e-021,4.42617e-020,
134,1.3579e-021,3.55952e-020,
135,1.21032e-021,2.85785e-020,
136,1.08012e-021,2.34589e-020,
137,9.85695e-022,2.02066e-020,
138,9.41808e-022,1.87114e-020,
139,9.53693e-022,1.88909e-020,
140,1.01589e-021,2.07474e-020,
141,1.11562e-021,2.43396e-020,
