0,5.21515e-023nan,
1,1.1968e-021,3.03378e-020,
2,1.65572e-021,4.15156e-020,
3,2.24431e-021,6.24124e-020,
4,2.75944e-021,9.42873e-020,
5,3.13746e-021,1.36123e-019,
6,3.38571e-021,1.82785e-019,
7,3.52846e-021,2.25659e-019,
8,3.58527e-021,2.55094e-019,
9,3.56768e-021,2.63696e-019,
10,3.48053e-021,2.49043e-019,
11,3.325e-021,2.14687e-019,
12,3.09981e-021,1.68708e-019,
13,2.80306e-021,1.20759e-019,
14,2.43445e-021,7.88161e-020,
15,2.00068e-021,4.71781e-020,
16,1.52666e-021,2.6311e-020,
17,1.07348e-021,1.41255e-020,
18,7.4957e-022,7.8787e-021,
19,6.70817e-022,5.72178e-021,
20,8.50446e-022,6.80094e-021,
21,1.17853e-021,1.14071e-020,
22,1.53882e-021,2.11921e-020,
23,1.87408e-021,3.8164e-020,
24,2.16635e-021,6.31951e-020,
25,2.40968e-021,9.45645e-020,
26,2.59983e-021,1.27347e-019,
27,2.73244e-021,1.5444e-019,
28,2.80302e-021,1.69031e-019,
29,2.80722e-021,1.67265e-019,
30,2.74227e-021,1.49903e-019,
31,2.60715e-021,1.21888e-019,
32,2.40315e-021,9.02817e-020,
33,2.13498e-021,6.14852e-020,
34,1.81331e-021,3.92793e-020,
35,1.46041e-021,2.43506e-020,
36,1.11957e-021,1.53188e-020,
37,8.56847e-022,1.03572e-020,
38,7.40812e-022,8.32947e-021,
39,8.01272e-022,8.90256e-021,
40,1.00626e-021,1.22102e-020,
41,1.28973e-021,1.90796e-020,
42,1.58948e-021,3.09485e-020,
43,1.86946e-021,4.88806e-020,
44,2.11332e-021,7.23716e-020,
45,2.31312e-021,9.86399e-020,
46,2.46357e-021,1.22883e-019,
47,2.55984e-021,1.3968e-019,
48,2.59725e-021,1.44904e-019,
49,2.57221e-021,1.37365e-019,
50,2.48244e-021,1.19191e-019,
51,2.32821e-021,9.49681e-020,
52,2.1132e-021,6.99005e-020,
53,1.84631e-021,4.80939e-020,
54,1.5446e-021,3.16243e-020,
55,1.23765e-021,2.06276e-020,
56,9.72173e-022,1.4094e-020,
57,8.06048e-022,1.08545e-020,
58,7.7915e-022,1.01984e-020,
