0,5.21092e-023nan,
1,1.16903e-021,3.03709e-020,
2,1.50985e-021,4.12842e-020,
3,2.00732e-021,6.32477e-020,
4,2.53474e-021,9.8565e-020,
5,3.01694e-021,1.48054e-019,
6,3.42198e-021,2.08791e-019,
7,3.739e-021,2.73082e-019,
8,3.96422e-021,3.29519e-019,
9,4.09516e-021,3.66018e-019,
10,4.12932e-021,3.73856e-019,
11,4.06425e-021,3.50991e-019,
12,3.89785e-021,3.02856e-019,
13,3.62924e-021,2.4044e-019,
14,3.26025e-021,1.76284e-019,
15,2.80045e-021,1.20428e-019,
16,2.27814e-021,7.80575e-020,
17,1.75867e-021,4.95597e-020,
18,1.35059e-021,3.27587e-020,
19,1.16459e-021,2.52241e-020,
20,1.24715e-021,2.54205e-020,
21,1.55244e-021,3.35104e-020,
22,1.98082e-021,5.15707e-020,
23,2.43785e-021,8.24571e-020,
24,2.86142e-021,1.27296e-019,
25,3.219e-021,1.82994e-019,
26,3.49517e-021,2.41164e-019,
27,3.68242e-021,2.89643e-019,
28,3.77713e-021,3.16486e-019,
29,3.7777e-021,3.14597e-019,
30,3.6846e-021,2.84738e-019,
31,3.50026e-021,2.35161e-019,
32,3.22941e-021,1.78171e-019,
33,2.88039e-021,1.25347e-019,
34,2.46776e-021,8.37968e-020,
35,2.01943e-021,5.51467e-020,
36,1.58681e-021,3.71627e-020,
37,1.2529e-021,2.672e-020,
38,1.11475e-021,2.21392e-020,
39,1.22244e-021,2.34659e-020,
40,1.52496e-021,3.15361e-020,
41,1.92207e-021,4.82685e-020,
42,2.33293e-021,7.61759e-020,
43,2.71069e-021,1.15963e-019,
44,3.03143e-021,1.64397e-019,
45,3.28224e-021,2.13818e-019,
46,3.45489e-021,2.53824e-019,
47,3.54355e-021,2.74779e-019,
48,3.5444e-021,2.71435e-019,
49,3.45608e-021,2.45004e-019,
50,3.27934e-021,2.02465e-019,
51,3.01845e-021,1.53799e-019,
52,2.68199e-021,1.08292e-019,
53,2.2857e-021,7.18804e-020,
54,1.85914e-021,4.64434e-020,
55,1.45682e-021,3.08415e-020,
56,1.16239e-021,2.28045e-020,
57,1.06028e-021,2.06318e-020,
58,1.17895e-021,2.38762e-020,
59,1.47086e-021,3.3134e-020,
60,1.84591e-021,4.96068e-020,
61,2.22647e-021,7.44841e-020,
62,2.56986e-021,1.07762e-019,
63,2.85711e-021,1.46956e-019,
64,3.0797e-021,1.86674e-019,
65,3.23257e-021,2.19459e-019,
66,3.31209e-021,2.37983e-019,
67,3.31526e-021,2.37595e-019,
68,3.24033e-021,2.1823e-019,
69,3.08692e-021,1.84457e-019,
70,2.85674e-021,1.43835e-019,
71,2.55474e-021,1.04158e-019,
72,2.19321e-021,7.10479e-020,
73,1.8014e-021,4.68612e-020,
74,1.43728e-021,3.12382e-020,
75,1.17871e-021,2.26643e-020,
76,1.08913e-021,1.96994e-020,
77,1.18547e-021,2.1712e-020,
78,1.43105e-021,2.92382e-020,
79,1.75836e-021,4.37277e-020,
80,2.10526e-021,6.65398e-020,
81,2.42961e-021,9.75277e-020,
82,2.70694e-021,1.33872e-019,
83,2.92405e-021,1.69936e-019,
84,3.07349e-021,1.98558e-019,
85,3.15105e-021,2.13334e-019,
86,3.15485e-021,2.10968e-019,
87,3.08485e-021,1.9245e-019,
88,2.94272e-021,1.6257e-019,
89,2.73235e-021,1.28046e-019,
90,2.46064e-021,9.50807e-020,
91,2.14086e-021,6.76939e-020,
92,1.79634e-021,4.72698e-020,
93,1.4657e-021,3.33719e-020,
94,1.20917e-021,2.49126e-020,
95,1.09181e-021,2.113e-020,
96,1.14785e-021,2.18654e-020,
97,1.36042e-021,2.75206e-020,
98,1.66772e-021,3.9157e-020,
99,1.9998e-021,5.79664e-020,
100,2.31209e-021,8.41697e-020,
101,2.58133e-021,1.15926e-019,
102,2.79475e-021,1.48864e-019,
103,2.94491e-021,1.76843e-019,
104,3.02675e-021,1.93667e-019,
105,3.03765e-021,1.95333e-019,
106,2.97736e-021,1.81525e-019,
107,2.84799e-021,1.55691e-019,
108,2.65521e-021,1.23782e-019,
109,2.40728e-021,9.20375e-020,
110,2.11616e-021,6.51346e-020,
111,1.79998e-021,4.52032e-020,
112,1.48975e-021,3.20717e-020,
113,1.23622e-021,2.43959e-020,
114,1.10653e-021,2.09716e-020,
115,1.13513e-021,2.15964e-020,
116,1.29802e-021,2.64656e-020,
117,1.55872e-021,3.63422e-020,
118,1.8647e-021,5.22149e-020,
119,2.16392e-021,7.43885e-020,
120,2.42819e-021,1.01625e-019,
121,2.64365e-021,1.30654e-019,
122,2.80217e-021,1.56521e-019,
123,2.89858e-021,1.73863e-019,
124,2.9299e-021,1.78745e-019,
125,2.89465e-021,1.70064e-019,
126,2.79306e-021,1.49999e-019,
127,2.62741e-021,1.23134e-019,
128,2.40287e-021,9.48004e-020,
129,2.1292e-021,6.93829e-020,
130,1.82543e-021,4.93558e-020,
131,1.52575e-021,3.52675e-020,
132,1.28113e-021,2.6541e-020,
133,1.14225e-021,2.24212e-020,
134,1.13567e-021,2.23619e-020,
135,1.25828e-021,2.63169e-020,
136,1.4752e-021,3.46883e-020,
137,1.73939e-021,4.80107e-020,
138,2.01198e-021,6.64512e-020,
139,2.26384e-021,8.9125e-020,
140,2.47654e-021,1.137e-019,
141,2.6398e-021,1.36564e-019,
142,2.74768e-021,1.53607e-019,
143,2.79645e-021,1.61356e-019,
144,2.78445e-021,1.58195e-019,
145,2.71118e-021,1.44847e-019,
146,2.57807e-021,1.24178e-019,
147,2.38927e-021,1.00203e-019,
148,2.15327e-021,7.67765e-020,
149,1.88777e-021,5.66259e-020,
150,1.61948e-021,4.11831e-020,
151,1.37849e-021,3.06891e-020,
152,1.20267e-021,2.46173e-020,
153,1.13492e-021,2.23222e-020,
154,1.19818e-021,2.36828e-020,
155,1.36922e-021,2.89886e-020,
156,1.60291e-021,3.88358e-020,
157,1.85802e-021,5.37652e-020,
158,2.10371e-021,7.35351e-020,
159,2.31952e-021,9.65097e-020,
160,2.49223e-021,1.19478e-019,
161,2.61425e-021,1.38293e-019,
162,2.68099e-021,1.4911e-019,
163,2.68975e-021,1.49614e-019,
164,2.63994e-021,1.39862e-019,
165,2.5333e-021,1.22239e-019,
166,2.3735e-021,1.00523e-019,
167,2.16666e-021,7.85946e-020,
168,1.92287e-021,5.93324e-020,
169,1.66125e-021,4.41265e-020,
170,1.41509e-021,3.31598e-020,
171,1.22748e-021,2.60652e-020,
172,1.13551e-021,2.24356e-020,
173,1.15338e-021,2.20979e-020,
174,1.26903e-021,2.519e-020,
175,1.4539e-021,3.20603e-020,
176,1.67761e-021,4.31799e-020,
177,1.91065e-021,5.87446e-020,
178,2.129e-021,7.80691e-020,
179,2.3156e-021,9.91616e-020,
180,2.45917e-021,1.18824e-019,
181,2.55283e-021,1.33368e-019,
182,2.59285e-021,1.39738e-019,
183,2.57775e-021,1.36575e-019,
184,2.50724e-021,1.24651e-019,
185,2.38275e-021,1.06615e-019,
186,2.20807e-021,8.60039e-020,
187,1.99155e-021,6.61488e-020,
188,1.74899e-021,4.93214e-020,
189,1.50897e-021,3.65051e-020,
190,1.30645e-021,2.7812e-020,
191,1.16825e-021,2.28302e-020,
192,1.11862e-021,2.1036e-020,
193,1.16836e-021,2.22353e-020,
194,1.30403e-021,2.65975e-020,
195,1.49726e-021,3.45668e-020,
196,1.71653e-021,4.65678e-020,
197,1.93503e-021,6.25029e-020,
