0,5.21456e-023nan,
1,1.18907e-021,3.03646e-020,
2,1.5932e-021,4.13567e-020,
3,2.10043e-021,6.24607e-020,
4,2.56591e-021,9.5336e-020,
5,2.9494e-021,1.39399e-019,
6,3.24953e-021,1.90245e-019,
7,3.47044e-021,2.3977e-019,
8,3.61301e-021,2.78012e-019,
9,3.67538e-021,2.96182e-019,
10,3.65469e-021,2.8973e-019,
11,3.54856e-021,2.60128e-019,
12,3.35543e-021,2.14267e-019,
13,3.07551e-021,1.62001e-019,
14,2.71219e-021,1.12746e-019,
15,2.27689e-021,7.28024e-020,
16,1.7991e-021,4.43908e-020,
17,1.34074e-021,2.64687e-020,
18,9.95852e-022,1.66316e-020,
19,8.57133e-022,1.26488e-020,
20,9.57996e-022,1.33425e-020,
21,1.23798e-021,1.88809e-020,
22,1.59841e-021,3.07293e-020,
23,1.96428e-021,5.07748e-020,
24,2.29505e-021,7.96765e-020,
25,2.57177e-021,1.15312e-019,
26,2.78506e-021,1.52173e-019,
27,2.9292e-021,1.82435e-019,
28,3.00073e-021,1.98591e-019,
29,2.99765e-021,1.96386e-019,
30,2.9198e-021,1.76625e-019,
31,2.76862e-021,1.44778e-019,
32,2.54725e-021,1.08709e-019,
33,2.26153e-021,7.56278e-020,
34,1.92266e-021,4.98208e-020,
35,1.55473e-021,3.20934e-020,
36,1.20461e-021,2.09072e-020,
37,9.39228e-022,1.4314e-020,
38,8.15896e-022,1.1209e-020,
39,8.52359e-022,1.11872e-020,
40,1.02281e-021,1.42794e-020,
41,1.2748e-021,2.11205e-020,
42,1.55685e-021,3.28927e-020,
43,1.83267e-021,5.04975e-020,
44,2.08056e-021,7.3445e-020,
45,2.28737e-021,9.91376e-020,
46,2.4445e-021,1.23069e-019,
47,2.54549e-021,1.40071e-019,
48,2.58575e-021,1.46103e-019,
49,2.56262e-021,1.39804e-019,
50,2.47506e-021,1.22925e-019,
51,2.32484e-021,9.96481e-020,
52,2.11663e-021,7.49166e-020,
53,1.85961e-021,5.28076e-020,
54,1.57018e-021,3.55736e-020,
55,1.27542e-021,2.36414e-020,
56,1.01423e-021,1.6268e-020,
57,8.33675e-022,1.23832e-020,
58,7.72083e-022,1.11993e-020,
59,8.36132e-022,1.24091e-020,
60,9.99241e-022,1.6171e-020,
61,1.2206e-021,2.30155e-020,
62,1.46295e-021,3.35718e-020,
63,1.69897e-021,4.80876e-020,
64,1.91079e-021,6.58898e-020,
65,2.08702e-021,8.50479e-020,
66,2.22005e-021,1.02514e-019,
67,2.30461e-021,1.14862e-019,
68,2.33703e-021,1.19356e-019,
69,2.31531e-021,1.14949e-019,
70,2.23901e-021,1.02676e-019,
71,2.10986e-021,8.52849e-020,
72,1.93192e-021,6.62381e-020,
73,1.7133e-021,4.86259e-020,
74,1.46815e-021,3.4353e-020,
75,1.22035e-021,2.40334e-020,
76,1.00285e-021,1.73508e-020,
77,8.51735e-022,1.36187e-020,
78,7.96225e-022,1.22455e-020,
79,8.43596e-022,1.29936e-020,
80,9.75468e-022,1.60005e-020,
81,1.16165e-021,2.17178e-020,
82,1.37137e-021,3.06512e-020,
83,1.58e-021,4.29233e-020,
84,1.77003e-021,5.78513e-020,
85,1.92959e-021,7.37214e-020,
86,2.05072e-021,8.80066e-020,
87,2.12816e-021,9.79947e-020,
88,2.15874e-021,1.01646e-019,
89,2.14101e-021,9.82698e-020,
90,2.07555e-021,8.87584e-020,
91,1.96489e-021,7.52323e-020,
92,1.81413e-021,6.02919e-020,
93,1.63129e-021,4.62166e-020,
94,1.42903e-021,3.44853e-020,
95,1.22533e-021,2.56535e-020,
96,1.0448e-021,1.962e-020,
97,9.16037e-022,1.60161e-020,
98,8.62039e-022,1.45272e-020,
99,8.89542e-022,1.50129e-020,
100,9.87788e-022,1.7531e-020,
101,1.13563e-021,2.23339e-020,
102,1.30944e-021,2.97078e-020,
103,1.48839e-021,3.96912e-020,
104,1.65604e-021,5.1751e-020,
105,1.80048e-021,6.46282e-020,
106,1.91311e-021,7.64373e-020,
107,1.9879e-021,8.50834e-020,
108,2.02113e-021,8.89024e-020,
109,2.01077e-021,8.71437e-020,
110,1.95706e-021,8.02602e-020,
111,1.86229e-021,6.97188e-020,
112,1.7312e-021,5.74843e-020,
113,1.57193e-021,4.54778e-020,
114,1.39629e-021,3.50775e-020,
115,1.22043e-021,2.69793e-020,
116,1.06472e-021,2.12991e-020,
117,9.51444e-022,1.78402e-020,
118,8.98717e-022,1.63449e-020,
119,9.14522e-022,1.66747e-020,
120,9.93137e-022,1.88516e-020,
121,1.11815e-021,2.30324e-020,
122,1.26908e-021,2.93828e-020,
123,1.42711e-021,3.78674e-020,
124,1.57726e-021,4.80274e-020,
125,1.70826e-021,5.88533e-020,
126,1.81199e-021,6.88644e-020,
127,1.88267e-021,7.64044e-020,
128,1.91659e-021,8.01073e-020,
129,1.91186e-021,7.92932e-020,
130,1.86827e-021,7.41829e-020,
131,1.78782e-021,6.58268e-020,
132,1.67474e-021,5.57426e-020,
133,1.53582e-021,4.54748e-020,
134,1.38152e-021,3.62452e-020,
135,1.22594e-021,2.87616e-020,
136,1.08674e-021,2.32726e-020,
137,9.82697e-022,1.97382e-020,
138,9.2926e-022,1.80238e-020,
139,9.33894e-022,1.80299e-020,
140,9.93868e-022,1.97616e-020,
141,1.09732e-021,2.33062e-020,
142,1.22784e-021,2.87511e-020,
143,1.36878e-021,3.60249e-020,
144,1.50597e-021,4.47362e-020,
145,1.62846e-021,5.40832e-020,
146,1.72777e-021,6.2865e-020,
147,1.79812e-021,6.97432e-020,
148,1.83565e-021,7.35464e-020,
149,1.83804e-021,7.35992e-020,
150,1.80512e-021,6.99573e-020,
151,1.73835e-021,6.33363e-020,
152,1.64144e-021,5.49169e-020,
153,1.52066e-021,4.59919e-020,
154,1.38511e-021,3.76577e-020,
155,1.24699e-021,3.06445e-020,
156,1.1208e-021,2.529e-020,
157,1.0221e-021,2.16578e-020,
158,9.64307e-022,1.96717e-020,
159,9.55223e-022,1.9252e-020,
160,9.94667e-022,2.03777e-020,
161,1.07494e-021,2.30912e-020,
162,1.18358e-021,2.74506e-020,
163,1.30664e-021,3.3421e-020,
164,1.43095e-021,4.07298e-020,
165,1.54563e-021,4.87803e-020,
166,1.64214e-021,5.66482e-020,
167,1.71416e-021,6.32184e-020,
168,1.75736e-021,6.74408e-020,
169,1.76916e-021,6.86016e-020,
170,1.74885e-021,6.65331e-020,
171,1.69739e-021,6.1645e-020,
172,1.61798e-021,5.48175e-020,
173,1.51582e-021,4.71198e-020,
174,1.39853e-021,3.95602e-020,
175,1.27639e-021,3.29052e-020,
176,1.16156e-021,2.759e-020,
177,1.06745e-021,2.37936e-020,
178,1.00611e-021,2.15263e-020,
179,9.85919e-022,2.0754e-020,
180,1.00885e-021,2.14532e-020,
181,1.07024e-021,2.36337e-020,
182,1.16031e-021,2.73073e-020,
183,1.267e-021,3.24129e-020,
184,1.37808e-021,3.87027e-020,
185,1.48309e-021,4.56771e-020,
186,1.57369e-021,5.25803e-020,
187,1.64342e-021,5.8479e-020,
188,1.68804e-021,6.24844e-020,
189,1.70481e-021,6.39543e-020,
190,1.69268e-021,6.2665e-020,
191,1.6523e-021,5.88815e-020,
192,1.586e-021,5.3266e-020,
193,1.49808e-021,4.66904e-020,
194,1.39497e-021,4.00211e-020,
195,1.28547e-021,3.39613e-020,
196,1.18031e-021,2.89619e-020,
197,1.09155e-021,2.52476e-020,
198,1.03059e-021,2.2887e-020,
199,1.00555e-021,2.18858e-020,
200,1.01896e-021,2.22405e-020,
201,1.06763e-021,2.39589e-020,
202,1.14393e-021,2.70439e-020,
203,1.2378e-021,3.14417e-020,
204,1.33853e-021,3.69449e-020,
205,1.43638e-021,4.31459e-020,
206,1.52311e-021,4.94132e-020,
207,1.59223e-021,5.4958e-020,
208,1.63907e-021,5.89827e-020,
209,1.66063e-021,6.08659e-020,
210,1.65558e-021,6.03264e-020,
211,1.62424e-021,5.74893e-020,
212,1.56873e-021,5.28562e-020,
213,1.49283e-021,4.71517e-020,
214,1.40222e-021,4.1152e-020,
215,1.30451e-021,3.55204e-020,
216,1.20894e-021,3.07272e-020,
217,1.12561e-021,2.70333e-020,
218,1.06437e-021,2.45508e-020,
219,1.03276e-021,2.33037e-020,
220,1.03434e-021,2.32867e-020,
221,1.06809e-021,2.4503e-020,
222,1.12847e-021,2.6942e-020,
223,1.20752e-021,3.05581e-020,
224,1.29598e-021,3.51957e-020,
225,1.38495e-021,4.05359e-020,
226,1.46661e-021,4.60793e-020,
227,1.53444e-021,5.11731e-020,
228,1.58371e-021,5.51357e-020,
229,1.61092e-021,5.73775e-020,
230,1.61425e-021,5.75638e-020,
231,1.59346e-021,5.56929e-020,
