0,5.21255e-023nan,
1,1.17439e-021,3.03807e-020,
2,1.52207e-021,4.12606e-020,
3,2.00923e-021,6.2964e-020,
4,2.5174e-021,9.75924e-020,
5,2.97849e-021,1.45594e-019,
6,3.36352e-021,2.03734e-019,
7,3.66251e-021,2.64296e-019,
8,3.87186e-021,3.16285e-019,
9,3.9892e-021,3.48437e-019,
10,4.01223e-021,3.53011e-019,
11,3.93886e-021,3.2875e-019,
12,3.76741e-021,2.81362e-019,
13,3.49757e-021,2.2151e-019,
14,3.13175e-021,1.60965e-019,
15,2.67993e-021,1.08898e-019,
16,2.17003e-021,6.9825e-020,
17,1.665e-021,4.38225e-020,
18,1.2681e-021,2.86503e-020,
19,1.08481e-021,2.18854e-020,
20,1.16019e-021,2.2011e-020,
21,1.44946e-021,2.91167e-020,
22,1.85541e-021,4.50381e-020,
23,2.28763e-021,7.23296e-020,
24,2.68825e-021,1.12046e-019,
25,3.02731e-021,1.61533e-019,
26,3.29025e-021,2.13423e-019,
27,3.46963e-021,2.56932e-019,
28,3.5618e-021,2.81371e-019,
29,3.56517e-021,2.8027e-019,
30,3.4803e-021,2.54126e-019,
31,3.3096e-021,2.10149e-019,
32,3.05752e-021,1.5927e-019,
33,2.73143e-021,1.11891e-019,
34,2.34347e-021,7.45068e-020,
35,1.91695e-021,4.87234e-020,
36,1.49794e-021,3.25776e-020,
37,1.16916e-021,2.31383e-020,
38,1.02648e-021,1.88528e-020,
39,1.10727e-021,1.96384e-020,
40,1.36212e-021,2.59105e-020,
41,1.7088e-021,3.89532e-020,
42,2.07865e-021,6.07102e-020,
43,2.42608e-021,9.20356e-020,
44,2.72584e-021,1.3088e-019,
45,2.96429e-021,1.71632e-019,
46,3.13331e-021,2.0614e-019,
47,3.22731e-021,2.26329e-019,
48,3.24268e-021,2.27159e-019,
49,3.17796e-021,2.08636e-019,
50,3.03332e-021,1.75666e-019,
51,2.81197e-021,1.36125e-019,
52,2.52038e-021,9.78641e-020,
53,2.17123e-021,6.62924e-020,
54,1.79204e-021,4.34654e-020,
55,1.43386e-021,2.89109e-020,
56,1.15487e-021,2.09722e-020,
57,1.02111e-021,1.79839e-020,
58,1.07719e-021,1.92804e-020,
59,1.29385e-021,2.50318e-020,
60,1.60141e-021,3.62532e-020,
61,1.93551e-021,5.44222e-020,
62,2.2537e-021,8.02143e-020,
63,2.53101e-021,1.1216e-019,
64,2.7535e-021,1.46076e-019,
65,2.9131e-021,1.75666e-019,
66,3.00506e-021,1.94385e-019,
67,3.0264e-021,1.97711e-019,
68,2.97568e-021,1.84871e-019,
69,2.85367e-021,1.59149e-019,
70,2.66313e-021,1.26553e-019,
71,2.41002e-021,9.36195e-020,
72,2.10516e-021,6.53213e-020,
73,1.76969e-021,4.40369e-020,
74,1.44208e-021,2.98186e-020,
75,1.174e-021,2.14633e-020,
76,1.03047e-021,1.76714e-020,
77,1.05342e-021,1.79576e-020,
78,1.22739e-021,2.24062e-020,
79,1.49954e-021,3.18395e-020,
80,1.80655e-021,4.73823e-020,
81,2.10298e-021,6.95379e-020,
82,2.3642e-021,9.71146e-020,
83,2.57677e-021,1.2669e-019,
84,2.73245e-021,1.5303e-019,
85,2.82604e-021,1.70518e-019,
86,2.85455e-021,1.75086e-019,
87,2.81676e-021,1.65724e-019,
88,2.7131e-021,1.44824e-019,
89,2.5464e-021,1.17284e-019,
90,2.32198e-021,8.86642e-020,
91,2.0489e-021,6.34457e-020,
92,1.74174e-021,4.39771e-020,
93,1.4288e-021,3.05063e-020,
94,1.16419e-021,2.20769e-020,
95,1.00705e-021,1.7782e-020,
96,9.87907e-022,1.70048e-020,
97,1.11179e-021,1.96499e-020,
98,1.34377e-021,2.63524e-020,
99,1.62095e-021,3.80522e-020,
100,1.89908e-021,5.54407e-020,
101,2.15243e-021,7.80795e-020,
102,2.36572e-021,1.03716e-019,
103,2.52939e-021,1.28318e-019,
104,2.63692e-021,1.4697e-019,
105,2.68448e-021,1.55493e-019,
106,2.67018e-021,1.51894e-019,
107,2.59421e-021,1.37127e-019,
108,2.45933e-021,1.14741e-019,
109,2.27037e-021,8.94992e-020,
110,2.03579e-021,6.57969e-020,
111,1.76931e-021,4.64767e-020,
112,1.49212e-021,3.25297e-020,
113,1.23682e-021,2.35326e-020,
114,1.05367e-021,1.85429e-020,
115,9.7965e-022,1.68857e-020,
116,1.02464e-021,1.81769e-020,
117,1.1803e-021,2.26489e-020,
118,1.40009e-021,3.07834e-020,
119,1.64303e-021,4.30924e-020,
120,1.88046e-021,5.95966e-020,
121,2.09277e-021,7.92619e-020,
122,2.26736e-021,9.97535e-020,
123,2.39617e-021,1.17719e-019,
124,2.47407e-021,1.29662e-019,
125,2.49762e-021,1.32987e-019,
126,2.46529e-021,1.26934e-019,
127,2.37783e-021,1.12886e-019,
128,2.23819e-021,9.38428e-020,
