0,5.2104e-023nan,
1,1.16793e-021,3.03679e-020,
2,1.50819e-021,4.12935e-020,
3,2.00823e-021,6.33165e-020,
4,2.53958e-021,9.87914e-020,
5,3.02601e-021,1.48614e-019,
6,3.43511e-021,2.0992e-019,
7,3.75582e-021,2.75019e-019,
8,3.98432e-021,3.32411e-019,
9,4.11808e-021,3.69838e-019,
10,4.15455e-021,3.78365e-019,
11,4.09121e-021,3.55791e-019,
12,3.92582e-021,3.07488e-019,
13,3.6574e-021,2.44522e-019,
14,3.28765e-021,1.79593e-019,
15,2.82606e-021,1.22928e-019,
16,2.30109e-021,7.9853e-020,
17,1.77874e-021,5.08218e-020,
18,1.36866e-021,3.36766e-020,
19,1.18253e-021,2.59881e-020,
20,1.26707e-021,2.6221e-020,
21,1.57626e-021,3.45642e-020,
22,2.00986e-021,5.31562e-020,
23,2.47262e-021,8.4923e-020,
24,2.90149e-021,1.31e-019,
25,3.26332e-021,1.8818e-019,
26,3.54251e-021,2.4782e-019,
27,3.73151e-021,2.97433e-019,
28,3.82673e-021,3.2479e-019,
29,3.8266e-021,3.22664e-019,
30,3.73155e-021,2.919e-019,
31,3.54398e-021,2.41005e-019,
32,3.26863e-021,1.82596e-019,
33,2.91409e-021,1.28512e-019,
34,2.4955e-021,8.59934e-020,
35,2.04177e-021,5.66667e-020,
36,1.60588e-021,3.82395e-020,
37,1.27221e-021,2.75611e-020,
38,1.13761e-021,2.29552e-020,
39,1.25241e-021,2.44545e-020,
40,1.56605e-021,3.30145e-020,
41,1.97488e-021,5.07462e-020,
42,2.39544e-021,8.03008e-020,
43,2.77999e-021,1.22297e-019,
44,3.10483e-021,1.73138e-019,
45,3.3574e-021,2.24607e-019,
46,3.52965e-021,2.65756e-019,
47,3.61585e-021,2.86625e-019,
48,3.6122e-021,2.81998e-019,
49,3.51742e-021,2.5345e-019,
50,3.33246e-021,2.08501e-019,
51,3.06194e-021,1.57636e-019,
52,2.7147e-021,1.10457e-019,
53,2.30697e-021,7.29751e-020,
54,1.87008e-021,4.69699e-020,
55,1.4614e-021,3.11454e-020,
56,1.16569e-021,2.30897e-020,
57,1.06772e-021,2.09987e-020,
58,1.19903e-021,2.4436e-020,
59,1.50907e-021,3.41387e-020,
60,1.90163e-021,5.15917e-020,
61,2.29684e-021,7.82474e-020,
62,2.65115e-021,1.14057e-019,
63,2.94521e-021,1.56091e-019,
64,3.1705e-021,1.98205e-019,
65,3.3223e-021,2.32173e-019,
66,3.39737e-021,2.5021e-019,
67,3.39327e-021,2.47782e-019,
68,3.30879e-021,2.2544e-019,
69,3.14418e-021,1.88605e-019,
70,2.90187e-021,1.45552e-019,
71,2.58777e-021,1.04416e-019,
72,2.21469e-021,7.0745e-020,
73,1.81055e-021,4.66076e-020,
74,1.43013e-021,3.1243e-020,
75,1.15772e-021,2.27916e-020,
76,1.06906e-021,1.98795e-020,
77,1.17703e-021,2.19591e-020,
78,1.44209e-021,2.96351e-020,
79,1.7938e-021,4.45999e-020,
80,2.16231e-021,6.84814e-020,
81,2.50436e-021,1.01359e-019,
82,2.79475e-021,1.40448e-019,
83,3.01868e-021,1.79667e-019,
84,3.16961e-021,2.11001e-019,
85,3.24452e-021,2.27082e-019,
86,3.24247e-021,2.24006e-019,
87,3.16411e-021,2.02844e-019,
88,3.01176e-021,1.69161e-019,
89,2.79007e-021,1.30794e-019,
90,2.50687e-021,9.49548e-020,
91,2.17579e-021,6.61626e-020,
92,1.82104e-021,4.56906e-020,
93,1.48386e-021,3.25262e-020,
94,1.22409e-021,2.49345e-020,
95,1.10935e-021,2.17914e-020,
