0,5.21368e-023nan,
1,1.18103e-021,3.03803e-020,
2,1.54703e-021,4.12756e-020,
3,2.03017e-021,6.26872e-020,
4,2.51351e-021,9.65236e-020,
5,2.94316e-021,1.42762e-019,
6,3.29787e-021,1.9771e-019,
7,3.57007e-021,2.53558e-019,
8,3.75641e-021,2.99801e-019,
9,3.85438e-021,3.26229e-019,
10,3.86166e-021,3.26407e-019,
11,3.77641e-021,3.00152e-019,
12,3.59738e-021,2.53591e-019,
13,3.32478e-021,1.96999e-019,
14,2.96174e-021,1.41155e-019,
15,2.5189e-021,9.40643e-020,
16,2.02438e-021,5.93381e-020,
17,1.53938e-021,3.6626e-020,
18,1.16126e-021,2.36269e-020,
19,9.87951e-022,1.7966e-020,
20,1.06102e-021,1.82005e-020,
21,1.33497e-021,2.43962e-020,
22,1.71508e-021,3.81433e-020,
23,2.11719e-021,6.16387e-020,
24,2.48898e-021,9.57864e-020,
25,2.80348e-021,1.38297e-019,
26,3.04747e-021,1.8284e-019,
27,3.21411e-021,2.20158e-019,
28,3.30001e-021,2.41091e-019,
29,3.30369e-021,2.40113e-019,
30,3.22559e-021,2.17672e-019,
31,3.06777e-021,1.79963e-019,
32,2.83402e-021,1.36349e-019,
33,2.53077e-021,9.57265e-020,
34,2.16922e-021,6.36328e-020,
35,1.77176e-021,4.1414e-020,
36,1.38139e-021,2.74021e-020,
37,1.06732e-021,1.91472e-020,
38,9.08484e-022,1.51388e-020,
39,9.5502e-022,1.50547e-020,
40,1.17216e-021,1.92623e-020,
41,1.48177e-021,2.87388e-020,
42,1.81886e-021,4.52206e-020,
43,2.14082e-021,6.97856e-020,
44,2.42375e-021,1.01298e-019,
45,2.65416e-021,1.35644e-019,
46,2.82367e-021,1.66318e-019,
47,2.92623e-021,1.86379e-019,
48,2.95774e-021,1.90937e-019,
49,2.91616e-021,1.79047e-019,
50,2.80105e-021,1.53947e-019,
51,2.61488e-021,1.21786e-019,
52,2.3627e-021,8.92242e-020,
53,2.05399e-021,6.13137e-020,
54,1.70699e-021,4.04404e-020,
55,1.36115e-021,2.65567e-020,
56,1.08166e-021,1.84303e-020,
57,9.21192e-022,1.4676e-020,
58,9.06909e-022,1.43503e-020,
59,1.03603e-021,1.73218e-020,
60,1.26928e-021,2.41821e-020,
61,1.55197e-021,3.59328e-020,
62,1.83902e-021,5.33404e-020,
63,2.10137e-021,7.60129e-020,
64,2.32239e-021,1.01745e-019,
65,2.4926e-021,1.26528e-019,
66,2.60609e-021,1.4545e-019,
67,2.6593e-021,1.54272e-019,
68,2.6502e-021,1.5093e-019,
69,2.57858e-021,1.36318e-019,
70,2.44607e-021,1.13933e-019,
71,2.25683e-021,8.85619e-020,
72,2.01809e-021,6.46407e-020,
73,1.74209e-021,4.50923e-020,
74,1.44884e-021,3.09359e-020,
75,1.17205e-021,2.17417e-020,
76,9.70224e-022,1.64211e-020,
77,9.05323e-022,1.43976e-020,
78,9.63887e-022,1.54012e-020,
79,1.12042e-021,1.95411e-020,
80,1.34043e-021,2.74447e-020,
81,1.58634e-021,3.97644e-020,
82,1.82761e-021,5.65527e-020,
83,2.04357e-021,7.66486e-020,
84,2.22102e-021,9.74779e-020,
85,2.35178e-021,1.15459e-019,
