0,5.21311e-023nan,
1,1.17726e-021,3.03821e-020,
2,1.53151e-021,4.12614e-020,
3,2.01528e-021,6.28349e-020,
4,2.51266e-021,9.71168e-020,
5,2.96107e-021,1.44352e-019,
6,3.33407e-021,2.01122e-019,
7,3.6224e-021,2.5968e-019,
8,3.82251e-021,3.09244e-019,
9,3.932e-021,3.38999e-019,
10,3.94863e-021,3.41748e-019,
11,3.87044e-021,3.16678e-019,
12,3.69598e-021,2.69663e-019,
13,3.42516e-021,2.11197e-019,
14,3.06073e-021,1.52631e-019,
15,2.61294e-021,1.0265e-019,
16,2.10969e-021,6.53955e-020,
17,1.613e-021,4.07691e-020,
18,1.22343e-021,2.65038e-020,
19,1.04327e-021,2.01914e-020,
20,1.11635e-021,2.03383e-020,
21,1.39813e-021,2.7016e-020,
22,1.79264e-021,4.19488e-020,
23,2.21202e-021,6.75357e-020,
24,2.60066e-021,1.04775e-019,
25,2.92977e-021,1.51191e-019,
26,3.18524e-021,1.99891e-019,
27,3.35979e-021,2.40768e-019,
28,3.44983e-021,2.63794e-019,
29,3.45384e-021,2.62883e-019,
30,3.37234e-021,2.38471e-019,
31,3.20763e-021,1.97289e-019,
32,2.96395e-021,1.49568e-019,
33,2.64832e-021,1.05062e-019,
34,2.2722e-021,6.98746e-020,
35,1.85745e-021,4.5539e-020,
36,1.44762e-021,3.02442e-020,
37,1.12283e-021,2.1257e-020,
38,9.76176e-022,1.71308e-020,
39,1.04376e-021,1.76249e-020,
40,1.28284e-021,2.29831e-020,
41,1.61485e-021,3.43822e-020,
42,1.97131e-021,5.37285e-020,
43,2.30808e-021,8.2057e-020,
44,2.60059e-021,1.17805e-019,
45,2.83526e-021,1.56036e-019,
46,3.0039e-021,1.89248e-019,
47,3.10087e-021,2.09733e-019,
48,3.12236e-021,2.12374e-019,
49,3.06675e-021,1.96697e-019,
50,2.9341e-021,1.66902e-019,
51,2.72748e-021,1.30217e-019,
52,2.45326e-021,9.40949e-020,
53,2.12355e-021,6.38842e-020,
54,1.76138e-021,4.18435e-020,
55,1.40751e-021,2.76373e-020,
56,1.12253e-021,1.96676e-020,
57,9.74428e-022,1.64043e-020,
58,1.00306e-021,1.71052e-020,
59,1.18746e-021,2.18102e-020,
60,1.46637e-021,3.13084e-020,
61,1.77847e-021,4.67886e-020,
62,2.08049e-021,6.88643e-020,
63,2.34726e-021,9.64943e-020,
64,2.5651e-021,1.2644e-019,
65,2.72583e-021,1.5356e-019,
66,2.82447e-021,1.72181e-019,
67,2.85782e-021,1.7798e-019,
68,2.82407e-021,1.69557e-019,
69,2.72345e-021,1.49017e-019,
70,2.55781e-021,1.21111e-019,
71,2.33167e-021,9.1518e-020,
72,2.05375e-021,6.49929e-020,
73,1.74081e-021,4.42449e-020,
74,1.42345e-021,2.984e-020,
75,1.14921e-021,2.09671e-020,
76,9.76159e-022,1.64217e-020,
77,9.50197e-022,1.54552e-020,
78,1.07114e-021,1.80045e-020,
79,1.29463e-021,2.45661e-020,
80,1.56779e-021,3.60517e-020,
81,1.84765e-021,5.3139e-020,
82,2.1059e-021,7.54125e-020,
83,2.32567e-021,1.00738e-019,
84,2.49632e-021,1.2526e-019,
85,2.61104e-021,1.44224e-019,
86,2.66587e-021,1.53492e-019,
87,2.65888e-021,1.50976e-019,
88,2.58974e-021,1.37391e-019,
89,2.46035e-021,1.15985e-019,
90,2.27491e-021,9.12882e-020,
91,2.04122e-021,6.76078e-020,
92,1.77179e-021,4.78553e-020,
93,1.48817e-021,3.32142e-020,
94,1.22428e-021,2.35006e-020,
95,1.02385e-021,1.78318e-020,
96,9.32271e-022,1.54502e-020,
97,9.70029e-022,1.59924e-020,
98,1.11894e-021,1.95785e-020,
99,1.33708e-021,2.67753e-020,
100,1.58567e-021,3.83508e-020,
101,1.8345e-021,5.46765e-020,
102,2.06124e-021,7.49959e-020,
103,2.25099e-021,9.70063e-020,
104,2.39419e-021,1.17072e-019,
105,2.4848e-021,1.31158e-019,
106,2.51911e-021,1.36145e-019,
107,2.49525e-021,1.30916e-019,
108,2.41364e-021,1.16815e-019,
109,2.27666e-021,9.70439e-020,
110,2.08983e-021,7.55653e-020,
111,1.86307e-021,5.58229e-020,
112,1.61215e-021,3.99005e-020,
113,1.36139e-021,2.84673e-020,
114,1.14278e-021,2.11649e-020,
115,9.91923e-022,1.7272e-020,
116,9.38176e-022,1.62099e-020,
117,9.92036e-022,1.77807e-020,
118,1.13604e-021,2.21042e-020,
119,1.33513e-021,2.95079e-020,
120,1.55525e-021,4.03333e-020,
121,1.77069e-021,5.45482e-020,
122,1.96351e-021,7.12806e-020,
123,2.12218e-021,8.86224e-020,
124,2.23932e-021,1.03854e-019,
125,2.3099e-021,1.14066e-019,
126,2.33088e-021,1.17075e-019,
127,2.30109e-021,1.12187e-019,
128,2.22114e-021,1.00448e-019,
129,2.09377e-021,8.42895e-020,
130,1.9246e-021,6.67198e-020,
131,1.72292e-021,5.04081e-020,
132,1.5029e-021,3.70602e-020,
133,1.28573e-021,2.72871e-020,
134,1.10075e-021,2.09008e-020,
135,9.81811e-022,1.74221e-020,
136,9.52567e-022,1.64813e-020,
137,1.01414e-021,1.79601e-020,
138,1.14851e-021,2.20505e-020,
139,1.32899e-021,2.91454e-020,
140,1.52844e-021,3.95464e-020,
141,1.7237e-021,5.30223e-020,
142,1.89778e-021,6.84769e-020,
143,2.03918e-021,8.38667e-020,
144,2.1406e-021,9.66015e-020,
145,2.19744e-021,1.04198e-019,
146,2.2075e-021,1.05119e-019,
147,2.17034e-021,9.9258e-020,
148,2.08757e-021,8.79699e-020,
149,1.96294e-021,7.35683e-020,
150,1.80295e-021,5.85675e-020,
151,1.61782e-021,4.49944e-020,
152,1.42236e-021,3.40289e-020,
153,1.23659e-021,2.60204e-020,
154,1.08476e-021,2.07877e-020,
155,9.90577e-022,1.79845e-020,
156,9.69287e-022,1.73635e-020,
157,1.02187e-021,1.88814e-020,
158,1.13591e-021,2.26968e-020,
159,1.29118e-021,2.90774e-020,
160,1.46511e-021,3.81406e-020,
161,1.63801e-021,4.95784e-020,
162,1.79444e-021,6.24243e-020,
163,1.92336e-021,7.50547e-020,
