0,5.20989e-023nan,
1,1.16704e-021,3.03652e-020,
2,1.50707e-021,4.13025e-020,
3,2.0093e-021,6.33763e-020,
4,2.54387e-021,9.89856e-020,
5,3.03379e-021,1.49089e-019,
6,3.44622e-021,2.10876e-019,
7,3.76997e-021,2.76652e-019,
8,4.00118e-021,3.34843e-019,
9,4.13729e-021,3.73044e-019,
10,4.17568e-021,3.82146e-019,
11,4.11376e-021,3.59812e-019,
12,3.94921e-021,3.11369e-019,
13,3.68093e-021,2.47942e-019,
14,3.31052e-021,1.82368e-019,
15,2.84743e-021,1.25028e-019,
16,2.32025e-021,8.13638e-020,
17,1.79554e-021,5.18869e-020,
18,1.38393e-021,3.44552e-020,
19,1.1978e-021,2.66415e-020,
20,1.28414e-021,2.69113e-020,
21,1.59673e-021,3.548e-020,
22,2.03484e-021,5.45409e-020,
23,2.50251e-021,8.70806e-020,
24,2.93592e-021,1.3424e-019,
25,3.30141e-021,1.92708e-019,
26,3.58319e-021,2.53621e-019,
27,3.77371e-021,3.04207e-019,
28,3.86939e-021,3.31994e-019,
29,3.86869e-021,3.29651e-019,
30,3.772e-021,2.98096e-019,
31,3.58168e-021,2.46058e-019,
32,3.30245e-021,1.86425e-019,
33,2.9431e-021,1.31255e-019,
34,2.51931e-021,8.78984e-020,
35,2.06084e-021,5.79883e-020,
36,1.622e-021,3.91828e-020,
37,1.28873e-021,2.83068e-020,
38,1.1579e-021,2.36912e-020,
39,1.27903e-021,2.53608e-020,
40,1.60163e-021,3.43687e-020,
41,2.01969e-021,5.29757e-020,
42,2.44786e-021,8.39141e-020,
43,2.83779e-021,1.2771e-019,
44,3.16586e-021,1.80471e-019,
45,3.41976e-021,2.3356e-019,
46,3.59163e-021,2.75607e-019,
47,3.67583e-021,2.96407e-019,
48,3.66865e-021,2.9076e-019,
49,3.56888e-021,2.6052e-019,
50,3.37764e-021,2.13627e-019,
51,3.09968e-021,1.60975e-019,
52,2.74399e-021,1.12429e-019,
53,2.32719e-021,7.40706e-020,
54,1.88221e-021,4.76056e-020,
55,1.46986e-021,3.16092e-020,
56,1.17779e-021,2.35819e-020,
57,1.08981e-021,2.16921e-020,
58,1.23568e-021,2.55813e-020,
59,1.55876e-021,3.60861e-020,
60,1.96201e-021,5.4845e-020,
61,2.36655e-021,8.34021e-020,
62,2.7281e-021,1.21588e-019,
63,3.02685e-021,1.66077e-019,
64,3.25422e-021,2.10145e-019,
65,3.40563e-021,2.45019e-019,
66,3.47792e-021,2.62631e-019,
67,3.46884e-021,2.5855e-019,
68,3.37736e-021,2.33773e-019,
69,3.20395e-021,1.94322e-019,
70,2.95127e-021,1.48995e-019,
71,2.62555e-021,1.06212e-019,
72,2.24028e-021,7.15444e-020,
73,1.82399e-021,4.69418e-020,
74,1.43093e-021,3.1455e-020,
75,1.15008e-021,2.30418e-020,
76,1.07326e-021,2.03143e-020,
77,1.21333e-021,2.29454e-020,
78,1.50483e-021,3.16002e-020,
79,1.87033e-021,4.79888e-020,
80,2.24675e-021,7.37984e-020,
81,2.59135e-021,1.0896e-019,
82,2.88025e-021,1.50233e-019,
83,3.10139e-021,1.91019e-019,
84,3.24838e-021,2.22867e-019,
85,3.3176e-021,2.38216e-019,
86,3.30781e-021,2.33295e-019,
87,3.21971e-021,2.09579e-019,
88,3.05602e-021,1.73165e-019,
89,2.82198e-021,1.32401e-019,
90,2.52568e-021,9.48209e-020,
91,2.18111e-021,6.50489e-020,
92,1.81399e-021,4.42335e-020,
93,1.47087e-021,3.11566e-020,
94,1.21585e-021,2.40028e-020,
95,1.11441e-021,2.1612e-020,
96,1.20395e-021,2.3917e-020,
97,1.45719e-021,3.16053e-020,
98,1.79274e-021,4.58903e-020,
99,2.1395e-021,6.80052e-020,
100,2.45964e-021,9.7995e-020,
101,2.73293e-021,1.33454e-019,
102,2.94765e-021,1.69134e-019,
103,3.09703e-021,1.98021e-019,
104,3.17633e-021,2.13492e-019,
105,3.18292e-021,2.11827e-019,
106,3.11554e-021,1.93581e-019,
107,2.97466e-021,1.63335e-019,
108,2.76361e-021,1.27949e-019,
109,2.48913e-021,9.40188e-020,
110,2.1653e-021,6.60269e-020,
111,1.81984e-021,4.56934e-020,
112,1.50246e-021,3.259e-020,
113,1.27497e-021,2.55036e-020,
114,1.18152e-021,2.33547e-020,
115,1.24461e-021,2.57427e-020,
116,1.44991e-021,3.3189e-020,
117,1.7365e-021,4.66627e-020,
118,2.04613e-021,6.68671e-020,
119,2.34223e-021,9.33316e-020,
120,2.60131e-021,1.23703e-019,
121,2.80757e-021,1.53678e-019,
122,2.9524e-021,1.77848e-019,
123,3.0318e-021,1.91254e-019,
124,3.04425e-021,1.91062e-019,
125,2.98977e-021,1.77518e-019,
126,2.86985e-021,1.53818e-019,
127,2.68801e-021,1.24942e-019,
128,2.45024e-021,9.60047e-020,
129,2.16641e-021,7.08374e-020,
130,1.85561e-021,5.13624e-020,
131,1.55535e-021,3.77538e-020,
132,1.32441e-021,2.9311e-020,
133,1.21559e-021,2.5533e-020,
134,1.24742e-021,2.61911e-020,
135,1.40869e-021,3.1533e-020,
136,1.65725e-021,4.22348e-020,
137,1.93974e-021,5.88028e-020,
138,2.21634e-021,8.09828e-020,
139,2.462e-021,1.07085e-019,
140,2.66181e-021,1.33735e-019,
141,2.80719e-021,1.56429e-019,
142,2.89342e-021,1.70747e-019,
143,2.91794e-021,1.73722e-019,
144,2.88013e-021,1.64876e-019,
145,2.7812e-021,1.46343e-019,
146,2.62438e-021,1.22086e-019,
147,2.41536e-021,9.65506e-020,
148,2.16382e-021,7.33559e-020,
149,1.88691e-021,5.46358e-020,
150,1.61378e-021,4.09884e-020,
151,1.38726e-021,3.2138e-020,
152,1.25194e-021,2.75788e-020,
153,1.24162e-021,2.69405e-020,
154,1.35631e-021,3.03187e-020,
155,1.56224e-021,3.81147e-020,
156,1.81488e-021,5.09249e-020,
157,2.0726e-021,6.89245e-020,
158,2.30963e-021,9.1196e-020,
159,2.51173e-021,1.15328e-019,
160,2.66942e-021,1.37595e-019,
161,2.7754e-021,1.53822e-019,
162,2.82441e-021,1.60641e-019,
163,2.81381e-021,1.56622e-019,
164,2.74363e-021,1.42789e-019,
165,2.61645e-021,1.22228e-019,
166,2.43744e-021,9.90021e-020,
167,2.21519e-021,7.68708e-020,
168,1.96349e-021,5.83641e-020,
169,1.70524e-021,4.45184e-020,
170,1.47418e-021,3.52488e-020,
171,1.31191e-021,3.00349e-020,
172,1.25444e-021,2.8439e-020,
173,1.31382e-021,3.03658e-020,
174,1.47816e-021,3.60331e-020,
175,1.70615e-021,4.58472e-020,
176,1.94614e-021,5.99486e-020,
177,2.17344e-021,7.79364e-020,
178,2.37403e-021,9.8432e-020,
179,2.53684e-021,1.18903e-019,
180,2.65384e-021,1.3603e-019,
181,2.72013e-021,1.46567e-019,
182,2.733e-021,1.48324e-019,
183,2.69144e-021,1.40926e-019,
184,2.59621e-021,1.25964e-019,
185,2.4497e-021,1.06433e-019,
186,2.25616e-021,8.57343e-020,
187,2.02408e-021,6.6741e-020,
188,1.77201e-021,5.11678e-020,
189,1.53555e-021,3.96908e-020,
190,1.35094e-021,3.22834e-020,
191,1.25187e-021,2.84542e-020,
192,1.26393e-021,2.79219e-020,
193,1.38604e-021,3.08833e-020,
194,1.57442e-021,3.76939e-020,
195,1.79327e-021,4.86918e-020,
196,2.01907e-021,6.40021e-020,
197,2.23008e-021,8.29043e-020,
198,2.40907e-021,1.03453e-019,
199,2.54513e-021,1.22589e-019,
200,2.63198e-021,1.36835e-019,
201,2.66588e-021,1.43251e-019,
202,2.6454e-021,1.40471e-019,
203,2.57056e-021,1.29109e-019,
204,2.44387e-021,1.11579e-019,
205,2.27115e-021,9.12263e-020,
206,2.06207e-021,7.13231e-020,
207,1.82966e-021,5.42741e-020,
208,1.5927e-021,4.12246e-020,
209,1.37758e-021,3.22696e-020,
210,1.23453e-021,2.6817e-020,
211,1.20104e-021,2.47431e-020,
212,1.26929e-021,2.58764e-020,
213,1.42331e-021,3.04401e-020,
214,1.62677e-021,3.89278e-020,
215,1.84802e-021,5.181e-020,
216,2.06355e-021,6.89988e-020,
217,2.25611e-021,8.92761e-020,
218,2.41341e-021,1.10103e-019,
219,2.52681e-021,1.27949e-019,
220,2.59066e-021,1.39223e-019,
221,2.60152e-021,1.41443e-019,
222,2.55794e-021,1.34095e-019,
223,2.46092e-021,1.18836e-019,
224,2.31418e-021,9.88673e-020,
225,2.12488e-021,7.78399e-020,
