0,5.21146e-023nan,
1,1.17041e-021,3.03743e-020,
2,1.51235e-021,4.12748e-020,
3,2.00679e-021,6.31677e-020,
4,2.52932e-021,9.82979e-020,
5,3.00624e-021,1.47389e-019,
6,3.40625e-021,2.07438e-019,
7,3.71871e-021,2.70748e-019,
8,3.93989e-021,3.26023e-019,
9,4.06736e-021,3.61391e-019,
10,4.09866e-021,3.68385e-019,
11,4.03148e-021,3.45164e-019,
12,3.86381e-021,2.97229e-019,
13,3.59494e-021,2.35485e-019,
14,3.22684e-021,1.7227e-019,
15,2.76918e-021,1.174e-019,
16,2.25011e-021,7.58878e-020,
17,1.73428e-021,4.80396e-020,
18,1.32882e-021,3.16601e-020,
19,1.14319e-021,2.43183e-020,
20,1.22356e-021,2.44811e-020,
21,1.52436e-021,3.22849e-020,
22,1.9466e-021,4.97368e-020,
23,2.39688e-021,7.96102e-020,
24,2.81419e-021,1.23017e-019,
25,3.16675e-021,1.76993e-019,
26,3.43938e-021,2.33441e-019,
27,3.62458e-021,2.80579e-019,
28,3.71868e-021,3.06801e-019,
29,3.72009e-021,3.05167e-019,
30,3.62931e-021,2.76352e-019,
31,3.44879e-021,2.28317e-019,
32,3.18318e-021,1.72993e-019,
33,2.84059e-021,1.21647e-019,
34,2.43487e-021,8.12328e-020,
35,1.99267e-021,5.33752e-020,
36,1.56369e-021,3.59116e-020,
37,1.22998e-021,2.57493e-020,
38,1.08899e-021,2.12182e-020,
39,1.1886e-021,2.2369e-020,
40,1.47724e-021,2.99032e-020,
41,1.85941e-021,4.55155e-020,
42,2.25773e-021,7.15123e-020,
43,2.62633e-021,1.08639e-019,
44,2.9412e-021,1.54067e-019,
45,3.18905e-021,2.0082e-019,
46,3.36146e-021,2.39219e-019,
47,3.45258e-021,2.60094e-019,
48,3.45862e-021,2.58211e-019,
49,3.3782e-021,2.34351e-019,
50,3.2119e-021,1.94819e-019,
51,2.96363e-021,1.48949e-019,
52,2.64114e-021,1.05611e-019,
53,2.25916e-021,7.06027e-020,
54,1.84666e-021,4.58831e-020,
55,1.45734e-021,3.04942e-020,
56,1.17148e-021,2.23367e-020,
57,1.06588e-021,1.97241e-020,
58,1.1668e-021,2.20586e-020,
59,1.43437e-021,2.9893e-020,
60,1.79017e-021,4.46994e-020,
61,2.16054e-021,6.80247e-020,
62,2.49725e-021,9.99287e-020,
63,2.77963e-021,1.37875e-019,
64,2.99856e-021,1.76379e-019,
65,3.14853e-021,2.07974e-019,
66,3.22608e-021,2.2555e-019,
67,3.22859e-021,2.24825e-019,
68,3.1548e-021,2.06061e-019,
69,3.00504e-021,1.7391e-019,
70,2.78185e-021,1.35642e-019,
71,2.4913e-021,9.8508e-020,
72,2.1465e-021,6.75893e-020,
73,1.7743e-021,4.49461e-020,
74,1.4241e-021,3.01674e-020,
75,1.16488e-021,2.18295e-020,
76,1.05669e-021,1.86096e-020,
77,1.12468e-021,1.98987e-020,
78,1.34836e-021,2.61617e-020,
79,1.66641e-021,3.87106e-020,
80,2.01177e-021,5.89617e-020,
81,2.33775e-021,8.7195e-020,
82,2.61824e-021,1.21311e-019,
83,2.83986e-021,1.56409e-019,
84,2.99523e-021,1.85711e-019,
